"%s was successfully added to your shopping cart.","%s was successfully added to your shopping cart."
"&laquo; Back to Billing Information","&laquo; Back to Billing Information"
"&laquo; Back to Select Addresses","&laquo; Back to Select Addresses"
"&laquo; Back to Shopping Cart","&laquo; Back to Shopping Cart"
"* Required Fields","* Required Fields"
"Add New Address","Add New Address"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Address","Address"
"Address %s of %s","Address %s of %s"
"After adding a product redirect to shopping cart","After adding a product redirect to shopping cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","Already registered?"
"Apply Coupon","Apply Coupon"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Back","Back"
"Back to Shipping Information","Back to Shipping Information"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Billing Address","Billing Address"
"Billing Information","Billing Information"
"Billing Information - %s","Billing Information - %s"
"Can not add item to shopping cart","Can not add item to shopping cart"
"Can not apply coupon code.","Can not apply coupon code."
"Cannot move item to wishlist","Cannot move item to wishlist"
"Cannot remove item","Cannot remove item"
"Cannot update shopping cart","Cannot update shopping cart"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Subtotal:","Cart Subtotal:"
"Change Billing Address","Edit"
"Change Payment Method","Edit"
"Change Shipping Address","Edit"
"Change Shipping Method","Edit"
"Checkout","Checkout"
"Checkout Options","Checkout Options"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Checkout method","Checkout method"
"Checkout with Multiple Addresses","Checkout with Multiple Addresses"
"City","City"
"Close","Close"
"Company","Company"
"Configurable product image","Configurable product image"
"Confirm Password","Confirm Password"
"Continue","Continue"
"Continue Shopping","Continue Shopping"
"Continue to Billing Information","Continue to Billing Information"
"Continue to Review Your Order","Continue to Review Your Order"
"Continue to Shipping Information","Continue to Shipping Information"
"Country","Country"
"Coupon code ""%s"" is not valid.","Coupon code ""%s"" is not valid."
"Coupon code was applied successfully.","Coupon code was applied successfully."
"Create Billing Address","Create Billing Address"
"Create Shipping Address","Create Shipping Address"
"Data saving problem","Data saving problem"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Discount Codes","Discount Codes"
"Display Cart Summary","Display Cart Summary"
"Display item quantities","Display item quantities"
"Display number of items in cart","Display number of items in cart"
"Easy access to your order history and status","Easy access to your order history and status"
"Edit","Edit"
"Edit Address","Edit Address"
"Edit Billing Address","Edit Billing Address"
"Edit Items","Edit Items"
"Edit Shipping Address","Edit Shipping Address"
"Edit Your Cart","Edit Your Cart"
"Email Address","Email Address"
"Enter a New Address","Enter a New Address"
"Enter your coupon code if you have one.","Enter your coupon code if you have one."
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate."
"Estimate Shipping and Tax","Estimate Shipping and Tax"
"Fast and easy check out","Fast and easy check out"
"Fax","Fax"
"First Name","First Name"
"Forgot an Item?","Forgot an Item?"
"Forgot your password?","Forgot your password?"
"Get a Quote","Get a Quote"
"Grand Total:","Grand Total:"
"Grouped product image","Grouped product image"
"Invalid data","Invalid data"
"Invalid shipping method.","Invalid shipping method."
"Items","Items"
"Last Name","Last Name"
"Load customer quote error","Load customer quote error"
"Loading next step...","Loading next step..."
"Login","Login"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum qty allowed for Shipping to multiple addresses is %s"
"Move to Wishlist","Move to Wishlist"
"My Account","My Account"
"My Cart","My Cart"
"My Cart (%s item)","My Cart (%s item)"
"My Cart (%s items)","My Cart (%s items)"
"My Cart Link","My Cart Link"
"New Address","New Address"
"Order Review","Order Review"
"Order Success","Order Success"
"Password","Password"
"Payment Information","Payment Information"
"Payment Method","Payment Method"
"Payment method is not defined","Payment method is not defined"
"Place Order","Place Order"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Please enter a coupon code.","Please enter a coupon code."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Please select shipping methods for all addresses","Please select shipping methods for all addresses"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Price","Price"
"Proceed to Checkout","Proceed to Checkout"
"Product","Product"
"Product Name","Product Name"
"Product does not exist","Product does not exist"
"Qty","Qty"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Register","Register"
"Register and save time!","Register and save time!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Remove","Remove"
"Remove Item","Remove Item"
"Remove Product","Remove Product"
"Review Order","Review Order"
"Review Order - %s","Review Order - %s"
"Select Address","Select Address"
"Select Addresses","Select Addresses"
"Select Shipping Method","Select Shipping Method"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Select a shipping address from your address book or enter a new address.","Select a shipping address from your address book or enter a new address."
"Send to","Send to"
"Ship to Multiple Addresses","Ship to Multiple Addresses"
"Ship to different address","Ship to different address"
"Ship to this address","Ship to this address"
"Shipping Address","Shipping Address"
"Shipping Information","Shipping Information"
"Shipping Method","Shipping Method"
"Shipping Methods","Shipping Methods"
"Shipping method has not been selected yet","Shipping method has not been selected yet"
"Shipping to","Shipping to"
"Shopping Cart","Shopping Cart"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Some of the products you requested are not available in the desired quantity","Some of the products you requested are not available in the desired quantity"
"Some of the products you requested are unavailable","Some of the products you requested are unavailable"
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","State/Province"
"Store Pickup","Store Pickup"
"Street Address","Street Address"
"Street Address 2","Street Address 2"
"Submitting order information...","Submitting order information..."
"Subtotal","Subtotal"
"Telephone","Telephone"
"Thank you for your purchase!","Thank you for your purchase!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","There are <a href=""%s""><strong>%s items</strong></a> in your cart."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"There is already a customer registered using this email address","There is already a customer registered using this email address"
"There was an error processing your order. Please contact us or try agian later.","There was an error processing your order. Please contact us or try agian later."
"Total for this address","Total for this address"
"Unit Price","Unit Price"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Update Shopping Cart","Update Shopping Cart"
"Update Total","Update Total"
"Use Billing Address","Use Billing Address"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress."
"You have no items in your cart.","You have no items in your cart."
"You have no items in your shopping cart.","You have no items in your shopping cart."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"Your Checkout Progress","Your Checkout Progress"
"Your order # is: %s","Your order # is: %s"
"Your order has been received","Your order has been received"
"Your order number is %s","Your order number is %s"
"Zip/Postal Code","Zip/Postal Code"
